year,distr,avtemp,totalrain,crops,trend,plntdha,prodmt,basalfert,topfert,aprrain,marrain,febrain,janrain,aprtemp,martemp,febtemp,jantemp,octrain,novrain,decrain,octtemp,novtemp,dectemp,totaltemp,tempsd,rainsd,aezs,ageczs,meanrain,raincov,meantemp,tempcov,aez3,aez2a,aez2b,aez1,prodkgs,yieldkgs,temp2,rain2,amchnge2,temprain,ondtemp,jfmtemp,ondrain,jfmrain,amchnge,lnyieldkgs,lnavtemp,lntotalrain,lnondrain,lnjfmrain,lnondtemp,lnjfmtemp,lnamchnge,lntempcov,lnraincov,aers,aer1,aer2,aer3,aer4,dup
1981.0,Mansa,22.483334,1012.9000244140625,Maize  ,1.0,14178.0,1022.04,0.0,0.0,103.4,176.4,158.1,255.9,20.1,21.7,21.8,22.35,50.3,112.6,259.6,23.55,23.5,22.0,134.9,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,1.02204e+06,72.086334,505.50027,1.02596644e+06,,22773.37,23.016666,21.95,422.5,590.4,,4.2778645,3.1127744,6.9205728,6.0461893,6.3808002,3.1362185,3.0887673,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Mazabuka,22.508333,916.0999755859375,Maize  ,1.0,35700.0,136898.1,0.0,0.0,0.0,128.1,310.3,190.6,18.85,21.2,22.0,22.4,22.4,79.7,185.0,23.05,24.2,22.2,135.05,0.713757,174.34879,2.0,2.0,837.8716,20.808533,23.784863,3.0008876,0.0,0.0,1.0,0.0,1.368981e+08,3834.6807,506.62506,839239.2,,20619.883,23.15,21.866667,287.1,629.0,,8.251842,3.1138856,6.8201256,5.6598306,6.4441314,3.1419947,3.0849633,,1.0989081,3.0353632,AERIIa,0.0,1.0,0.0,0.0,0.0
1981.0,Mbala,22.058334,1126.9000244140625,Maize  ,1.0,8270.0,7332.3,0.0,0.0,67.6,257.6,175.4,299.0,20.5,21.2,20.75,21.6,20.4,175.8,198.7,24.0,23.15,21.65,132.35,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,7.3323e+06,886.61426,486.57013,1.2699036e+06,,24857.537,22.933332,21.183334,394.9,732.0,,6.78741,3.0936904,7.027226,5.9786325,6.5957804,3.1325915,3.0532148,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Mongu,24.208332,946.0999755859375,Maize  ,1.0,3008.0,1388.79,0.0,0.0,48.7,95.3,275.5,127.2,21.8,23.55,23.9,24.15,57.7,19.8,370.6,24.8,25.1,23.75,145.25,0.713757,174.34879,3.0,2.0,837.8716,20.808533,23.784863,3.0008876,0.0,0.0,0.0,1.0,1.38879e+06,461.6988,586.04333,895105.2,,22903.502,24.55,23.866667,448.1,498.0,,6.1349125,3.1866968,6.8523483,6.105016,6.2106,3.2007117,3.1724827,,1.0989081,3.0353632,AERIIb,0.0,0.0,1.0,0.0,0.0
1981.0,Mumbwa,22.85,930.1000366210938,Maize  ,1.0,30715.0,118287.0,0.0,0.0,32.5,37.1,342.6,343.6,19.3,22.05,22.45,22.9,11.5,83.4,111.9,23.35,24.3,22.05,137.1,0.713757,174.34879,2.0,2.0,837.8716,20.808533,23.784863,3.0008876,0.0,0.0,1.0,0.0,1.18287e+08,3851.115,522.1225,865086.06,,21252.787,23.233334,22.466667,206.8,723.3,,8.256118,3.128951,6.8352923,5.3317523,6.583824,3.145588,3.1120327,,1.0989081,3.0353632,AERIIa,0.0,1.0,0.0,0.0,0.0
1981.0,Mwinilunga,23.125,1177.4000244140625,Maize  ,1.0,226.0,347.49,0.0,0.0,56.7,250.4,121.6,219.3,,,,,146.9,225.4,213.8,23.15,23.1,,46.25,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,347490.0,1537.5664,534.7656,1.3862709e+06,,27227.375,23.125,,586.1,591.3,,7.337956,3.1409142,7.071064,6.3734903,6.3823233,3.1409142,,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Ndola,22.191666,1276.699951171875,Maize  ,1.0,27140.0,38562.75,0.0,0.0,99.8,166.3,305.8,243.7,20.15,21.65,22.1,21.8,92.9,155.1,312.9,23.25,22.45,21.9,133.15,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,3.856275e+07,1420.8826,492.47003,1.6299628e+06,,28332.098,22.533333,21.85,560.9,715.8,,7.2590337,3.099717,7.152034,6.3295426,6.573401,3.1149957,3.0842009,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Petauke,23.35,1168.2999267578125,Maize  ,1.0,35030.0,56264.4,0.0,0.0,19.7,162.4,266.8,296.7,21.45,22.9,22.95,23.25,13.8,96.7,331.9,,24.85,22.8,116.75001,0.713757,174.34879,2.0,2.0,837.8716,20.808533,23.784863,3.0008876,0.0,0.0,1.0,0.0,5.62644e+07,1606.1776,545.22253,1.3649248e+06,,27279.805,23.825,23.033333,442.4,725.9,,7.3816123,3.150597,7.063305,6.0922146,6.5874124,3.1707356,3.1369424,,1.0989081,3.0353632,AERIIa,0.0,1.0,0.0,0.0,0.0
1981.0,Samfya,23.791666,1647.5999755859375,Maize  ,1.0,5281.0,374.94,0.0,0.0,89.8,517.4,295.6,279.4,22.15,23.2,22.7,23.4,40.4,41.8,473.0,25.1,25.55,22.8,142.75,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,374940.0,70.99792,566.0434,2.7145858e+06,,39199.15,24.483334,23.1,555.2,1092.4,,4.2626505,3.1693354,7.407075,6.3193283,6.9961324,3.1979926,3.1398327,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Senanga,23.133333,986.2999877929688,Maize  ,1.0,1886.0,1880.82,0.0,0.0,0.4,154.7,399.1,154.5,20.85,22.7,23.1,23.15,16.6,79.4,182.0,23.1,23.85,22.9,138.8,0.713757,174.34879,3.0,2.0,837.8716,20.808533,23.784863,3.0008876,0.0,0.0,0.0,1.0,1.88082e+06,997.2534,535.1511,972787.7,,22816.406,23.283333,22.983334,278.0,708.3,,6.905005,3.1412747,6.8939605,5.627621,6.5628676,3.1477377,3.1347694,,1.0989081,3.0353632,AERIIb,0.0,0.0,1.0,0.0,0.0
1981.0,Serenje,22.583334,,Maize  ,1.0,7400.0,5670.0,0.0,0.0,26.4,190.1,179.5,124.6,,22.45,22.55,22.75,,,,,,,67.75,0.713757,174.34879,2.0,2.0,837.8716,20.808533,23.784863,3.0008876,0.0,0.0,1.0,0.0,5.67e+06,766.2162,510.00696,,,,,22.583334,,494.2,,6.641464,3.1172123,,,6.2029405,,3.1172123,,1.0989081,3.0353632,AERIII,0.0,0.0,0.0,1.0,0.0
1981.0,Zambezi,22.45,1090.0999755859375,Maize  ,1.0,308.0,463.59,0.0,0.0,,166.3,300.5,199.6,,22.2,22.3,22.35,37.2,235.6,150.9,23.15,22.6,22.1,134.7,0.713757,174.34879,0.0,3.0,1028.87,16.945658,22.989763,3.104673,1.0,0.0,0.0,0.0,463590.0,1505.1624,504.00253,1.188318e+06,,24472.746,22.616667,22.283333,423.7,666.4,,7.316656,3.1112907,6.9940248,6.0490255,6.50189,3.1186872,3.103839,,1.1329083,2.8300116,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Chipata,24.458334,575.4000244140625,Maize  ,2.0,30491.0,31306.5,0.0,0.0,59.1,68.8,178.5,201.9,22.05,23.35,22.75,22.95,14.4,17.6,94.2,25.65,26.9,25.15,146.75,0.8137129,207.71645,2.0,2.0,837.8716,24.790964,23.784863,3.4211376,0.0,0.0,1.0,0.0,3.13065e+07,1026.7456,598.2101,331085.2,0.19574045,14073.326,25.9,23.016666,126.2,449.2,-0.44242564,6.9341493,3.196971,6.3550653,4.8378677,6.107468,3.254243,3.1362185,,1.2299731,3.2104793,AERIIa,0.0,1.0,0.0,0.0,0.0
1982.0,Choma,22.1,555.6000366210938,Maize  ,2.0,16980.0,51705.0,0.0,0.0,0.0,54.4,110.2,184.1,20.3,21.4,21.75,22.0,7.0,154.1,45.8,22.0,22.95,22.5,132.59999,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,5.1705e+07,3045.053,488.41,308691.4,0.7887281,12278.761,22.483334,21.716667,206.90001,348.69998,-0.88810366,8.021274,3.0955777,6.320049,5.332236,5.854212,3.1127744,3.07808,,1.2639735,3.0051277,AERIIa,0.0,1.0,0.0,0.0,0.0
